objectid,lad20cd,lad20nm,lad20nmw,bng_e,bng_n,long,lat,st_areashape,st_lengthshape
267,E08000023,South Tyneside, ,435514,564057,-1.44679,54.969879,67074163.5471814,47104.2359081683
268,E08000024,Sunderland, ,436470,551524,-1.43344,54.857189,139617952.48594,70241.0438236747
269,E08000025,Birmingham, ,408150,287352,-1.88141,52.484039,267791059.935544,106260.720206509
270,E08000026,Coventry, ,432807,279689,-1.51908,52.41423,98639059.7934009,54057.3813145433
271,E08000027,Dudley, ,393191,288584,-2.10171,52.495129,97958242.9743294,75382.3296507881
272,E08000028,Sandwell, ,399573,290764,-2.00771,52.514771,85558928.1589318,59211.0030546068
273,E08000029,Solihull, ,419434,281483,-1.71558,52.431,178282115.90066,101031.44871952
274,E08000030,Walsall, ,402098,300804,-1.97044,52.60503,103973538.346296,59401.179428603
275,E08000031,Wolverhampton, ,391463,300016,-2.12746,52.597881,69436711.8259897,56054.9143823003
276,E08000032,Bradford, ,408395,438626,-1.87389,53.843819,366419741.977216,135920.613224042
277,E08000033,Calderdale, ,402617,424896,-1.96182,53.720482,363960989.528605,107687.458147593
278,E08000034,Kirklees, ,414586,416223,-1.78085,53.64233,408551664.068338,125668.531365478
279,E08000035,Leeds, ,432528,436384,-1.50736,53.822731,551706537.389032,161521.909438329
280,E08000036,Wakefield, ,438366,418235,-1.42092,53.659222,338619733.163756,109447.356420418
281,E08000037,Gateshead, ,420168,559658,-1.6868,54.931198,144079851.528685,79723.0715106469
282,E09000001,City of London, ,532382,181358,-0.09351,51.51564,3146884.2262236,9644.09958423798
283,E09000002,Barking and Dagenham, ,547757,185111,0.129479,51.545551,37781837.9109276,37095.7688528581
284,E09000003,Barnet, ,523473,191752,-0.21819,51.611069,86766703.2363416,50937.7781770707
285,E09000004,Bexley, ,549202,175434,0.146212,51.458221,64315720.1031764,43462.3767490907
286,E09000005,Brent, ,519615,186465,-0.27568,51.564381,43236365.6404595,38441.5566438351
287,E09000006,Bromley, ,542036,165707,0.039246,51.372662,150132482.280987,76226.2639333283
288,E09000007,Camden, ,527491,184283,-0.16291,51.543049,21778578.4034218,26245.7759639882
289,E09000008,Croydon, ,533922,164744,-0.07761,51.365971,86488720.7555765,58721.4172176382
290,E09000009,Ealing, ,517055,181959,-0.3141,51.524422,55542068.9907847,47461.8198671747
291,E09000010,Enfield, ,532831,196198,-0.08144,51.648891,82190329.4625074,41091.4771981005
292,E09000011,Greenwich, ,542507,175878,0.050093,51.46394,50446926.0759578,45550.1698321718
293,E09000012,Hackney, ,534560,185787,-0.06045,51.55492,19043878.1202836,25441.8406022706
294,E09000013,Hammersmith and Fulham, ,523867,177993,-0.21735,51.487331,17159504.3852849,23984.5757858526
295,E09000014,Haringey, ,531260,189349,-0.1067,51.587711,29606188.7568545,29085.5089573274
296,E09000015,Harrow, ,515359,189736,-0.33598,51.594669,50464270.3934982,33811.7912858755
297,E09000016,Havering, ,555032,187514,0.235368,51.565189,114456938.827456,63938.1464538579
298,E09000017,Hillingdon, ,508166,183121,-0.44182,51.53664,115704360.847301,63941.2177015743
299,E09000018,Hounslow, ,512737,174959,-0.37855,51.462379,56589779.5883219,57752.8943588178
300,E09000019,Islington, ,531160,184645,-0.10989,51.54546,14858041.7197018,20747.7400804119
301,E09000020,Kensington and Chelsea, ,525756,179058,-0.18977,51.496479,12384039.8483996,21101.3412567111
302,E09000021,Kingston upon Thames, ,519508,167389,-0.28367,51.39296,37259416.9983262,37549.9473523761
303,E09000022,Lambeth, ,531118,175629,-0.11385,51.464451,27237589.7990586,34223.1198455845
